priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange,Timestamp
0,BELEQN,-2.8,BEL,EQ,N,384.75,16521484,386.0,387.5,382.7,387.55,6356310539.32,473.45,361.2,1374204727253.93,2026-07-30 16:00:29,0,-0.45,-6.57,30-Jul-2025,30-Jun-2026,18.734818882669764,-6.519933554817276,,,BHARAT ELECTRONICS LIMITED,-0.72,2026-07-30 19:48:35
0,NESTLEINDEQN,15.7,NESTLEIND,EQ,N,1519.0,3698063,1503.3,1532.6,1497.0,1503.3,5624568919.85,1532.6,1084.7,1086093281065.1,2026-07-30 16:00:29,0,36.14,8.1,30-Jul-2025,30-Jun-2026,0.8873809213101919,-40.03872038351618,,,NESTLE INDIA LIMITED,1.04,2026-07-30 19:48:35
0,SHRIRAMFINEQN,-15.7,SHRIRAMFIN,EQ,N,1029.0,5425880,1038.0,1051.0,1019.5,1044.7,5574711888.4,1108.0,566.5,1437137311112.52,2026-07-30 16:00:29,0,62.61,-1.26,30-Jul-2025,30-Jun-2026,7.129963898916968,-81.64165931156222,,,SHRIRAM FINANCE LIMITED,-1.5,2026-07-30 19:48:35
0,HINDUNILVREQN,-10.8,HINDUNILVR,EQ,N,2107.0,2602039,2120.0,2132.6,2088.0,2117.8,5478124747.48,2750.0,2016.0,1864069949678.92,2026-07-30 16:00:29,0,-13.56,-0.53,30-Jul-2025,30-Jun-2026,23.381818181818183,-4.513888888888889,,,HINDUSTAN UNILEVER LIMITED,-0.51,2026-07-30 19:48:35
0,ITCEQN,-0.7,ITC,EQ,N,285.55,18283697,286.1,288.4,283.75,286.25,5224200743.81,427.0,275.0,2744908844595.67,2026-07-30 16:00:29,0,-29.94,-0.49,30-Jul-2025,30-Jun-2026,33.12646370023419,-3.8363636363636364,,,ITC LIMITED,-0.24,2026-07-30 19:48:35
0,HCLTECHEQN,7.2,HCLTECH,EQ,N,1351.5,3747919,1349.0,1369.9,1345.6,1344.3,5097507152.71,1780.1,1030.0,1420880972267.0,2026-07-30 16:00:29,0,-8.47,26.1,30-Jul-2025,30-Jun-2026,24.077299028144488,-31.21359223300971,,,HCL TECHNOLOGIES LIMITED,0.54,2026-07-30 19:48:35
0,KOTAKBANKEQN,-2.6,KOTAKBANK,EQ,N,387.6,12205963,385.7,390.2,385.7,390.2,4742993102.54,453.2,345.5,2845977112500.26,2026-07-30 16:00:29,0,-1.11,-1.19,30-Jul-2025,30-Jun-2026,14.474845542806708,-12.185238784370478,,,KOTAK MAHINDRA BANK LIMITED,-0.67,2026-07-30 19:48:35
0,SUNPHARMAEQN,15.1,SUNPHARMA,EQ,N,2005.0,2224264,1993.1,2017.3,1988.0,1989.9,4464453730.24,2017.3,1548.0,2117111838529.49,2026-07-30 16:00:29,0,15.64,7.65,30-Jul-2025,30-Jun-2026,0.6097258712139989,-29.521963824289404,,,SUN PHARMACEUTICAL INDUSTRIES LIMITED,0.76,2026-07-30 19:48:35
0,HINDALCOEQN,7.05,HINDALCO,EQ,N,969.5,4259226,968.0,973.05,960.6,962.45,4118969687.82,1176.0,657.5,1399812364334.5,2026-07-30 16:00:29,0,40.75,1.35,30-Jul-2025,30-Jun-2026,17.55952380952381,-47.452471482889734,,,HINDALCO INDUSTRIES LIMITED,0.73,2026-07-30 19:48:35
0,ADANIENTEQN,25.5,ADANIENT,EQ,N,3050.0,1278332,3024.5,3060.9,2994.6,3024.5,3882677783.6,3245.0,1753.0,913098756508.21,2026-07-30 16:00:29,0,24.03,0.46,30-Jul-2025,30-Jun-2026,6.00924499229584,-73.9874500855676,,,ADANI ENTERPRISES LIMITED,0.84,2026-07-30 19:48:35
